"_id","_ignored","_index","_score",hostname,"hostname.keyword","query_name","query_name.keyword","raw_data.address","raw_data.address.keyword","raw_data.cpu_seconds","raw_data.cpu_seconds.keyword","raw_data.hotfix_id","raw_data.hotfix_id.keyword","raw_data.installed_on","raw_data.installed_on.keyword","raw_data.memory_mb","raw_data.memory_mb.keyword","raw_data.name","raw_data.name.keyword","raw_data.path","raw_data.path.keyword","raw_data.pid","raw_data.pid.keyword","raw_data.port","raw_data.port.keyword","raw_data.protocol","raw_data.protocol.keyword","raw_data.publisher","raw_data.publisher.keyword","raw_data.version","raw_data.version.keyword","risk_score","summary_text","summary_text.keyword",timestamp
X5qAwJoBgRINlVaoMj2S,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","NVIDIA ShadowPlay 3.20.4.14","NVIDIA ShadowPlay 3.20.4.14","-","-","-","-","-","-","-","-","NVIDIA Corporation","NVIDIA Corporation","3.20.4.14","3.20.4.14",30,"Unverified Application: 'NVIDIA ShadowPlay 3.20.4.14'","Unverified Application: 'NVIDIA ShadowPlay 3.20.4.14'","Nov 26, 2025 @ 22:07:41.000"
YJqAwJoBgRINlVaoMj2U,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","NVIDIA SHIELD Wireless Controller Driver","NVIDIA SHIELD Wireless Controller Driver","-","-","-","-","-","-","-","-","NVIDIA Corporation","NVIDIA Corporation","3.20.4.8","3.20.4.8",30,"Unverified Application: 'NVIDIA SHIELD Wireless Controller Driver'","Unverified Application: 'NVIDIA SHIELD Wireless Controller Driver'","Nov 26, 2025 @ 22:07:41.000"
YZqAwJoBgRINlVaoMj2W,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","NVIDIA Update Core","NVIDIA Update Core","-","-","-","-","-","-","-","-","NVIDIA Corporation","NVIDIA Corporation","38.0.5.0","38.0.5.0",30,"Unverified Application: 'NVIDIA Update Core'","Unverified Application: 'NVIDIA Update Core'","Nov 26, 2025 @ 22:07:41.000"
YpqAwJoBgRINlVaoMj2X,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","NVIDIA Virtual Audio 4.13.0.0","NVIDIA Virtual Audio 4.13.0.0","-","-","-","-","-","-","-","-","NVIDIA Corporation","NVIDIA Corporation","4.13.0.0","4.13.0.0",30,"Unverified Application: 'NVIDIA Virtual Audio 4.13.0.0'","Unverified Application: 'NVIDIA Virtual Audio 4.13.0.0'","Nov 26, 2025 @ 22:07:41.000"
Y5qAwJoBgRINlVaoMj2Z,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","vs_minshellinteropx64msi","vs_minshellinteropx64msi","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","17.14.36015","17.14.36015",30,"Unverified Application: 'vs_minshellinteropx64msi'","Unverified Application: 'vs_minshellinteropx64msi'","Nov 26, 2025 @ 22:07:41.000"
ZJqAwJoBgRINlVaoMj2b,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","Safe Exam Browser (x64)","Safe Exam Browser (x64)","-","-","-","-","-","-","-","-","ETH Zürich","ETH Zürich","3.9.0.787","3.9.0.787",30,"Unverified Application: 'Safe Exam Browser (x64)'","Unverified Application: 'Safe Exam Browser (x64)'","Nov 26, 2025 @ 22:07:41.000"
ZZqAwJoBgRINlVaoMj2d,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","SQL Server 2022 XEvent","SQL Server 2022 XEvent","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","16.0.1000.6","16.0.1000.6",30,"Unverified Application: 'SQL Server 2022 XEvent'","Unverified Application: 'SQL Server 2022 XEvent'","Nov 26, 2025 @ 22:07:41.000"
ZpqAwJoBgRINlVaoMj2f,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","WD_BLACK D50","WD_BLACK D50","-","-","-","-","-","-","-","-","ENE TECHNOLOGY INC.","ENE TECHNOLOGY INC.","1.0.9.0","1.0.9.0",30,"Unverified Application: 'WD_BLACK D50'","Unverified Application: 'WD_BLACK D50'","Nov 26, 2025 @ 22:07:41.000"
Z5qAwJoBgRINlVaoMj2h,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","Microsoft SQL Server 2022 Setup (English)","Microsoft SQL Server 2022 Setup (English)","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","16.0.1000.6","16.0.1000.6",30,"Unverified Application: 'Microsoft SQL Server 2022 Setup (English)'","Unverified Application: 'Microsoft SQL Server 2022 Setup (English)'","Nov 26, 2025 @ 22:07:41.000"
aJqAwJoBgRINlVaoMj2j,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","Python 3.12.5 Test Suite (64-bit)","Python 3.12.5 Test Suite (64-bit)","-","-","-","-","-","-","-","-","Python Software Foundation","Python Software Foundation","3.12.5150.0","3.12.5150.0",30,"Unverified Application: 'Python 3.12.5 Test Suite (64-bit)'","Unverified Application: 'Python 3.12.5 Test Suite (64-bit)'","Nov 26, 2025 @ 22:07:41.000"
